user_id;channel_1;channel_2;channel_3;channel_4;conversions;duration
111055000025177;0.0;0.0;1.0;0.0;0.0;0
111055000533474;3.0;0.0;1.0;2.0;0.0;18
111055000731634;0.0;0.0;0.0;2.0;0.0;11
111055000795837;0.0;0.0;0.0;2.0;0.0;0
111055000808885;0.0;0.0;0.0;2.0;0.0;10
111055000868715;0.0;0.0;0.0;1.0;0.0;0
111055000873621;4.0;0.0;0.0;1.0;0.0;16
111055000997117;6.0;6.0;3.0;1.0;0.0;20
111055001108540;3.0;0.0;3.0;2.0;0.0;17
111055001129470;0.0;0.0;0.0;2.0;0.0;0
111055001281480;3.0;0.0;3.0;1.0;0.0;24
111055001640326;3.0;0.0;2.0;0.0;0.0;18
111055001705751;0.0;0.0;0.0;2.0;0.0;2
111055001712470;0.0;0.0;0.0;2.0;0.0;1
111055001910388;0.0;0.0;0.0;2.0;0.0;2
111055002036936;0.0;0.0;0.0;2.0;0.0;0
111055002152302;4.0;0.0;0.0;0.0;0.0;18
111055002236509;0.0;0.0;2.0;0.0;0.0;15
111055002308622;0.0;0.0;0.0;2.0;0.0;0
111055002320538;0.0;0.0;2.0;0.0;0.0;23
111055002403649;0.0;0.0;0.0;2.0;0.0;0
111055003009814;0.0;4.0;11.0;1.0;0.0;24
111055003338930;0.0;0.0;0.0;2.0;0.0;2
111055003535846;0.0;0.0;0.0;3.0;0.0;13
111055003736707;0.0;2.0;2.0;2.0;0.0;16
111055003791327;0.0;0.0;2.0;0.0;0.0;7
111055003889227;0.0;0.0;1.0;2.0;0.0;2
111055003915013;0.0;1.0;1.0;2.0;0.0;19
111055004379671;0.0;0.0;0.0;2.0;0.0;1
111055004468806;0.0;1.0;5.0;0.0;0.0;11
111055004585752;0.0;0.0;0.0;2.0;0.0;12
111055005387015;0.0;0.0;0.0;2.0;0.0;4
111055005714038;0.0;0.0;1.0;2.0;1.0;1
111055005800113;0.0;0.0;0.0;1.0;0.0;0
111055005853899;4.0;0.0;0.0;0.0;0.0;14
111055005908328;0.0;0.0;0.0;2.0;0.0;12
111055006246992;0.0;0.0;11.0;3.0;0.0;24
111055006289029;2.0;2.0;1.0;2.0;0.0;23
111055006497906;0.0;2.0;3.0;0.0;0.0;21
111055007792654;1.0;2.0;12.0;1.0;0.0;21
111055008116792;0.0;2.0;1.0;2.0;0.0;1
111055008144529;4.0;0.0;1.0;0.0;0.0;8
111055008705492;0.0;0.0;0.0;2.0;0.0;6
111055008817337;3.0;0.0;0.0;0.0;0.0;0
111055009092399;0.0;0.0;0.0;2.0;0.0;0
111055009275317;0.0;0.0;2.0;1.0;0.0;3
111055009602426;7.0;0.0;0.0;0.0;0.0;17
111055009752532;0.0;0.0;0.0;2.0;0.0;1
111055009894845;0.0;0.0;0.0;2.0;0.0;2
111055009934677;6.0;2.0;0.0;0.0;0.0;23
111055010699067;0.0;0.0;3.0;2.0;0.0;22
111055010795268;0.0;6.0;5.0;0.0;0.0;22
111055011113143;0.0;0.0;0.0;2.0;0.0;11
111055011162752;3.0;0.0;0.0;1.0;0.0;19
111055011280248;0.0;0.0;2.0;0.0;0.0;7
111055011804475;1.0;1.0;0.0;2.0;1.0;1
111055011857952;0.0;0.0;1.0;2.0;1.0;0
111055011867216;0.0;0.0;1.0;2.0;0.0;1
111055012064929;6.0;0.0;1.0;1.0;0.0;22
111055012366368;1.0;1.0;1.0;2.0;1.0;0
111055012504858;0.0;0.0;0.0;2.0;0.0;0
111055012640353;0.0;0.0;0.0;2.0;0.0;11
111055012650025;2.0;0.0;0.0;2.0;0.0;2
111055012787426;0.0;1.0;1.0;0.0;0.0;1
111055012997651;0.0;0.0;1.0;2.0;0.0;0
111055013364799;0.0;1.0;2.0;1.0;0.0;2
111055013658317;0.0;0.0;1.0;2.0;0.0;0
111055013912251;0.0;0.0;0.0;2.0;0.0;11
111055014118944;0.0;0.0;1.0;0.0;0.0;0
111055014159073;0.0;1.0;1.0;0.0;1.0;0
111055014920974;0.0;2.0;0.0;1.0;0.0;10
111055015118326;3.0;0.0;0.0;2.0;0.0;9
111055015322786;0.0;0.0;13.0;1.0;0.0;24
111055015366230;0.0;0.0;0.0;2.0;0.0;1
111055015489563;2.0;0.0;0.0;2.0;0.0;10
111055015832133;3.0;0.0;4.0;1.0;0.0;18
111055015906155;0.0;0.0;0.0;1.0;0.0;0
111055015951825;1.0;0.0;0.0;2.0;0.0;1
111055015977035;0.0;3.0;0.0;0.0;0.0;4
111055016087008;4.0;0.0;0.0;4.0;0.0;19
111055016124813;0.0;0.0;0.0;2.0;0.0;3
111055016271140;0.0;0.0;0.0;2.0;0.0;2
111055016688822;0.0;0.0;1.0;2.0;0.0;1
111055017076231;4.0;0.0;0.0;1.0;0.0;8
111055017133023;0.0;0.0;2.0;2.0;0.0;6
111055017306156;0.0;0.0;0.0;2.0;0.0;0
111055017399721;0.0;0.0;0.0;2.0;1.0;0
111055017445582;2.0;0.0;0.0;2.0;0.0;8
111055017460525;0.0;2.0;0.0;2.0;0.0;13
111055017698853;0.0;0.0;0.0;2.0;0.0;4
111055017758490;0.0;0.0;0.0;1.0;0.0;0
111055017868400;0.0;3.0;1.0;0.0;0.0;14
111055018071163;0.0;2.0;1.0;0.0;0.0;3
111055018157322;0.0;0.0;0.0;2.0;0.0;5
111055018316404;0.0;0.0;0.0;2.0;0.0;0
111055018517129;0.0;0.0;0.0;2.0;0.0;0
111055018677827;0.0;0.0;0.0;2.0;1.0;2
111055018712919;2.0;0.0;0.0;2.0;0.0;24
111055018726716;4.0;3.0;1.0;0.0;0.0;15
111055018755587;0.0;0.0;1.0;1.0;0.0;0
111055018835118;3.0;0.0;0.0;2.0;0.0;13
111055019093252;2.0;0.0;0.0;0.0;0.0;0
111055019196657;0.0;0.0;2.0;1.0;0.0;0
111055019289370;0.0;0.0;0.0;2.0;0.0;1
111055019297654;0.0;3.0;1.0;0.0;0.0;14
111055019491295;0.0;0.0;1.0;3.0;0.0;21
111055019491297;0.0;0.0;0.0;2.0;0.0;0
111055019588846;6.0;0.0;0.0;2.0;0.0;24
111055019788087;0.0;5.0;4.0;9.0;0.0;20
111055019911186;0.0;0.0;1.0;0.0;0.0;0
111055020022147;5.0;0.0;0.0;0.0;0.0;21
111055020077244;1.0;4.0;32.0;1.0;0.0;23
111055020227862;0.0;4.0;1.0;2.0;0.0;17
111055020278989;5.0;6.0;2.0;0.0;0.0;22
111055020506714;0.0;0.0;3.0;0.0;0.0;0
111055020867163;0.0;0.0;1.0;2.0;1.0;2
111055020970987;0.0;2.0;0.0;0.0;0.0;2
111055021327241;0.0;0.0;0.0;2.0;0.0;1
111055021437298;6.0;1.0;0.0;0.0;0.0;19
111055021495813;0.0;0.0;6.0;1.0;0.0;21
111055021780805;2.0;0.0;6.0;0.0;0.0;18
111055021852135;5.0;0.0;0.0;1.0;0.0;23
111055021874666;8.0;1.0;0.0;0.0;0.0;23
111055021906887;0.0;0.0;0.0;2.0;0.0;1
111055021980427;0.0;0.0;0.0;2.0;0.0;2
111055022002141;2.0;2.0;11.0;0.0;0.0;12
111055022090239;1.0;0.0;0.0;0.0;0.0;0
111055022406616;0.0;0.0;0.0;2.0;0.0;1
111055022465164;0.0;0.0;0.0;2.0;1.0;2
111055022542308;0.0;0.0;3.0;1.0;0.0;10
111055022668912;1.0;0.0;0.0;0.0;0.0;0
111055022718498;0.0;0.0;2.0;0.0;1.0;0
111055022898436;0.0;0.0;14.0;1.0;0.0;22
111055022924113;0.0;0.0;0.0;2.0;0.0;1
111055023060980;6.0;0.0;1.0;2.0;0.0;23
111055023263289;0.0;0.0;14.0;0.0;0.0;24
111055023263626;2.0;0.0;4.0;2.0;0.0;23
111055023900800;0.0;0.0;8.0;2.0;0.0;26
111055023938698;0.0;0.0;0.0;2.0;1.0;1
111055023991259;0.0;0.0;0.0;2.0;0.0;1
111055024036408;0.0;3.0;7.0;2.0;0.0;25
111055024263166;0.0;0.0;0.0;2.0;0.0;4
111055024397516;3.0;0.0;1.0;2.0;0.0;19
111055024607038;0.0;0.0;6.0;0.0;0.0;21
111055024689172;0.0;0.0;0.0;1.0;0.0;0
111055024873424;0.0;0.0;0.0;2.0;0.0;0
111055024967728;0.0;0.0;18.0;1.0;0.0;12
111055025011232;0.0;0.0;0.0;2.0;0.0;5
111055025160554;0.0;0.0;0.0;2.0;0.0;0
111055025248459;0.0;0.0;0.0;2.0;0.0;3
111055025334932;0.0;0.0;3.0;3.0;0.0;14
111055025491331;1.0;1.0;1.0;2.0;1.0;0
111055025554291;0.0;0.0;0.0;2.0;0.0;0
111055026029391;3.0;0.0;0.0;0.0;0.0;21
111055026094041;0.0;1.0;0.0;0.0;0.0;0
111055026532848;0.0;2.0;1.0;0.0;0.0;13
111055027154103;0.0;0.0;0.0;2.0;1.0;0
111055027302907;0.0;0.0;9.0;0.0;0.0;21
111055027311364;0.0;0.0;2.0;0.0;1.0;1
111055027365788;2.0;1.0;0.0;1.0;1.0;0
111055027471332;2.0;0.0;1.0;2.0;0.0;1
111055027691499;0.0;0.0;0.0;2.0;1.0;3
111055027726517;0.0;1.0;2.0;1.0;0.0;0
111055027843724;0.0;0.0;0.0;3.0;0.0;13
111055027856986;0.0;0.0;0.0;2.0;0.0;0
111055027932253;6.0;0.0;0.0;1.0;0.0;23
111055027946528;0.0;3.0;28.0;0.0;0.0;21
111055028111007;11.0;0.0;1.0;1.0;0.0;22
111055028221031;0.0;0.0;1.0;0.0;0.0;0
111055028229306;0.0;0.0;0.0;2.0;0.0;0
111055028245592;0.0;0.0;0.0;2.0;0.0;0
111055028370487;0.0;0.0;11.0;1.0;0.0;23
111055028396643;0.0;0.0;0.0;2.0;0.0;0
111055028533210;0.0;2.0;2.0;1.0;0.0;7
111055028596985;0.0;0.0;0.0;2.0;0.0;0
111055028941304;0.0;0.0;24.0;3.0;0.0;21
111055029101689;0.0;0.0;0.0;2.0;0.0;0
111055029233392;4.0;4.0;5.0;2.0;0.0;25
111055029374113;0.0;0.0;5.0;1.0;0.0;6
111055029380744;0.0;0.0;1.0;2.0;0.0;0
111055029588371;10.0;0.0;0.0;0.0;0.0;22
111055029737455;0.0;0.0;1.0;0.0;0.0;0
111055030039576;0.0;0.0;0.0;2.0;1.0;0
111055030602157;0.0;0.0;11.0;0.0;0.0;24
111055030731863;5.0;1.0;0.0;0.0;0.0;18
111055030897806;5.0;0.0;0.0;1.0;0.0;23
111055031287543;0.0;0.0;0.0;2.0;0.0;0
111055031365630;0.0;0.0;0.0;2.0;1.0;7
111055031380005;0.0;0.0;12.0;0.0;0.0;23
111055031457973;2.0;3.0;3.0;1.0;0.0;12
111055031512036;4.0;0.0;0.0;2.0;0.0;20
111055031580290;0.0;0.0;1.0;2.0;0.0;1
111055031625986;0.0;0.0;0.0;2.0;0.0;0
